COD_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;LEN_MAT;AUT_IDE_ET;NOM_CEN;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;MOT_EGR
CDFSJT00001;1;2013-09-05;11;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-09-15;1;EN TRÁMITE;1;NO APLICA;NO APLICA
CDFSJT00001;1;2022-08-08;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-03;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00001;1;2016-08-27;8;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-01-13;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00002;2;2021-07-04;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-01;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00002;1;2019-09-09;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-01;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00003;2;2021-07-21;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-19;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00004;2;2022-11-15;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-07-01;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00005;2;2022-02-14;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-25;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00006;1;2021-12-06;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-03-13;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00006;2;2019-12-07;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-02-01;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00007;1;2021-10-04;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-06-01;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00008;1;2020-07-20;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-21;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00009;2;2021-06-13;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-09-05;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00010;1;2023-05-06;1;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-10-01;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00010;2;2021-02-17;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-10-01;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00010;1;2017-03-24;7;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-10-03;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00010;2;2014-06-30;10;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-10-03;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00011;2;2022-11-25;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-24;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00012;2;2013-12-13;11;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-07-18;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00013;2;2019-12-10;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-20;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00014;2;2014-04-20;10;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-01-19;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00014;2;2012-03-13;12;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-01-19;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00015;1;2022-09-05;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-05;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00016;1;2022-07-20;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-08;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00017;1;2022-09-10;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-08-19;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00018;2;2019-12-07;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-01-19;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00019;2;2019-10-18;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-01-19;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00020;2;2022-02-26;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-06-12;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00021;1;2022-08-01;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-08-19;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00021;2;2010-08-22;14;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-08-19;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00022;2;2021-08-29;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-07-17;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00023;2;2020-12-22;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-18;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00024;1;2022-10-23;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-22;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00025;2;2015-06-08;9;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2019-02-14;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00025;2;2011-09-24;13;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2019-02-14;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00026;2;2018-04-11;6;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-03-27;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00026;2;2015-09-29;9;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-03-27;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00027;2;2019-06-16;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-18;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00028;2;2021-10-03;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-02-20;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00028;1;2014-06-04;10;3;CHILE;3;10;7;CEDIF SAN JUDAS TADEO;2023-02-20;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00029;1;2022-09-05;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-17;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00030;2;2022-04-15;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-01;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00030;2;2016-02-05;8;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-05;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00031;1;2022-11-05;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-05-06;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00032;1;2022-11-15;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-04-22;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00033;1;2022-11-20;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-05-06;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00034;2;2021-03-23;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-09;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00034;2;2011-10-21;13;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-09;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00035;2;2021-06-23;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-08-05;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00036;2;2022-01-07;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-01;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00037;1;2022-10-19;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-12;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00038;2;2023-02-26;1;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-18;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00039;2;2023-01-05;2;2;ESPAÑA;3;10;7;CEDIF SAN JUDAS TADEO;2024-10-01;1;SIS;1;NO APLICA;NO APLICA
