COD_USU,SEX_USU,FEC_NAC_USU,EDAD_USU,GRU_ET,PAI_USU,TIE_DIS,LEN_MAT,AUT_IDE_ET,NOM_CEN,FEC_ING,PER_ING,TIP_SEG_SAL,EST_ACT,FEC_EGR,MOT_EGR
CDFSJT00001,1,2013-09-05,12,4,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2022-09-15,1,5,1,NO APLICA,11
CDFSJT00002,2,2021-07-04,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-04-01,1,2,1,NO APLICA,11
CDFSJT00005,2,2022-02-14,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-01-25,1,1,1,NO APLICA,11
CDFSJT00010,1,2023-05-06,2,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-10-01,1,1,1,NO APLICA,11
CDFSJT00015,1,2022-09-05,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-02-05,1,1,1,NO APLICA,11
CDFSJT00016,1,2022-07-20,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-01-08,1,1,1,NO APLICA,11
CDFSJT00018,2,2019-12-07,6,3,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2022-01-19,1,1,1,NO APLICA,11
CDFSJT00019,2,2019-10-18,6,3,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2022-01-19,1,1,1,NO APLICA,11
CDFSJT00020,2,2022-02-26,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-06-12,1,1,1,NO APLICA,11
CDFSJT00022,2,2021-08-29,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-07-17,1,1,1,NO APLICA,11
CDFSJT00029,1,2022-09-05,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-01-17,1,1,1,NO APLICA,11
CDFSJT00031,1,2022-11-05,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-05-06,1,1,1,NO APLICA,11
CDFSJT00033,1,2022-11-20,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-05-06,1,1,1,NO APLICA,11
CDFSJT00036,2,2022-01-07,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-02-01,1,1,1,NO APLICA,11
CDFSJT00038,2,2023-02-26,2,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-04-18,1,2,1,NO APLICA,11
CDFSJT00039,2,2023-01-05,2,2,ESPAÑA,3,10,7,CEDIF SAN JUDAS TADEO,2024-10-01,1,1,1,NO APLICA,11
CDFSJT00041,2,2022-04-27,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2023-08-10,1,2,1,NO APLICA,11
CDFSJT00043,1,2021-01-19,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2023-01-09,1,1,1,NO APLICA,11
CDFSJT00046,1,2020-09-30,5,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-08-15,1,1,1,NO APLICA,11
CDFSJT00047,2,2021-01-05,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-02-12,1,1,1,NO APLICA,11
CDFSJT00048,2,2021-09-14,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-05-03,1,1,1,NO APLICA,11
CDFSJT00049,1,2020-05-17,5,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2023-02-07,1,1,1,NO APLICA,11
CDFSJT00050,2,2022-04-22,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-02-09,1,2,1,NO APLICA,11
CDFSJT00052,2,2021-08-24,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2023-01-09,1,1,1,NO APLICA,11
CDFSJT00054,1,2021-05-08,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2023-03-22,1,1,1,NO APLICA,11
CDFSJT00058,2,2021-02-16,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-08-28,1,1,1,NO APLICA,11
CDFSJT00059,2,2020-06-19,5,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2022-03-29,1,2,1,NO APLICA,11
CDFSJT00061,1,2022-11-19,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-01-19,1,1,1,NO APLICA,11
CDFSJT00062,1,2022-07-22,3,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2023-10-16,1,1,1,NO APLICA,11
CDFSJT00064,1,2013-09-30,12,4,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-02-13,1,1,1,NO APLICA,11
CDFSJT00066,2,2020-09-27,5,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2023-03-28,1,1,1,NO APLICA,11
CDFSJT00067,2,2019-01-01,6,3,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2023-01-16,1,1,1,NO APLICA,11
CDFSJT00072,2,2021-04-11,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2024-03-06,1,2,1,NO APLICA,11
CDFSJT00078,2,2021-07-30,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2023-05-10,1,1,1,NO APLICA,11
CDFSJT00080,2,2021-08-26,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2025-01-22,1,1,1,NO APLICA,11
CDFSJT00082,2,2020-12-04,5,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2025-01-15,1,1,1,NO APLICA,11
CDFSJT00086,2,2020-07-18,5,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2025-01-27,1,1,1,NO APLICA,11
CDFSJT00087,2,2021-05-27,4,2,PERÚ,3,10,7,CEDIF SAN JUDAS TADEO,2025-01-27,1,1,1,NO APLICA,11
